,ssoc_2015,ssoc_2015_title
590,31151,Mechanical Engineering Technician (General)
591,31152,Aeronautical Engineering Technician
592,31153,Automotive Engineering Technician
593,31154,Air-Conditioning/Refrigeration Engineering Technician
594,31155,Machining/Tooling Technician
595,31156,Tool/Mould Designer
596,31157,Marine Surveyor (Ship And Nautical)
597,31158,Airworthiness Surveyor
598,31159,Other Mechanical Engineering Technicians
599,3116,Chemical Engineering Technicians
600,31161,Chemical Engineering Technician (General)
601,31162,Chemical Engineering Technician (Petroleum And Natural Gas)
602,31163,Chemical Engineering Technician (Petrochemicals)
603,31169,Other Chemical Engineering Technicians
604,3117,Manufacturing Engineering Technicians
605,31171,Manufacturing Engineering Technician (General)
606,31172,Production Engineering Technician
607,31173,Automation Designer
608,31174,Automation Technician
609,31175,Quality Assurance Technician
610,31179,Other Manufacturing Engineering Technicians
611,3118,Draughtsmen
612,31181,Draughtsman (General)
613,31182,Mechanical Draughtsman
614,31183,Electrical/Electronics Draughtsman
615,31184,Civil/Structural Engineering Draughtsman
616,31185,Architectural Draughtsman
617,31186,Marine Draughtsman
618,31189,Other Draughtsmen (Eg Cartographical Draughtsman)
619,3119,Physical And Engineering Science Technicians Not Elsewhere Classified
620,31191,Mechatronics Technician
621,31192,Refining/Smelting Technician
622,31193,Physical Metallurgy Technician
623,31194,Petroleum And Natural Gas Extraction Technician
624,31195,Electronic Pre-Press Technician
625,31196,Precision Optics Technician
626,31197,Quantity Surveying Technician
627,31199,Other Physical And Engineering Science Technicians N.E.C.
628,314,Life Science Technicians And Related Associate Professionals
629,3141,Life Science Technicians (Except Medical)
630,31411,Biological Technician
631,31412,Food Science Technician
632,31413,Clinical Research Coordinator
633,31419,Other Life Science Technicians
634,3142,"Agronomy, Horticultural And Farming Technicians"
635,31421,Horticultural Technician (Including Irrigation Specialist)
636,31422,Plant Tissue Culture Technician
637,31423,Farming Technician (Animal Production)
638,31429,"Other Agronomy, Horticultural And Farming Related Technicians"
639,315,Ship And Aircraft Controllers And Technicians
640,3151,Ship Engineering Officers
641,31510,Marine Engineering Officer
642,3152,Ships' Deck Officers And Pilots
643,31521,"Ship'S Navigating Officer (Including Chief, Second And Third Officer)"
644,31522,Ship Pilot
645,31529,Other Ships' Deck Officers And Pilots
646,3154,Air Traffic Controllers
647,31540,Air Traffic Controller
648,3156,Sea Traffic Controllers
649,31560,Sea Traffic Controller
650,3157,Transport Operations Supervisors
